index	status	input	source	line	column	returncode	seconds	message
45	PASS	arch/riscv/kernel/cpu-hotplug.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/cpu-hotplug.c			0	1.411	
46	PASS	arch/riscv/kernel/jump_label.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/jump_label.c			0	1.003	
47	PASS	arch/riscv/kernel/efi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/efi.c			0	1.834	
48	PASS	arch/riscv/kernel/compat_syscall_table.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/compat_syscall_table.c			0	1.858	
49	PASS	arch/riscv/kernel/compat_signal.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/compat_signal.c			0	1.787	
50	FAIL	arch/riscv/kernel/acpi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kernel/acpi.c	1	1	1	1.604	parsed AST violates compiler contracts
51	PASS	arch/riscv/mm/init.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/init.c			0	2.133	
52	PASS	arch/riscv/mm/extable.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/extable.c			0	0.961	
53	PASS	arch/riscv/mm/fault.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/fault.c			0	1.818	
54	PASS	arch/riscv/mm/pageattr.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/pageattr.c			0	1.061	
55	PASS	arch/riscv/mm/pgtable.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/pgtable.c			0	1.755	
56	PASS	arch/riscv/mm/cacheflush.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/cacheflush.c			0	1.111	
57	PASS	arch/riscv/mm/context.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/context.c			0	1.029	
58	PASS	arch/riscv/mm/pmem.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/pmem.c			0	1.597	
59	PASS	arch/riscv/mm/tlbflush.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/tlbflush.c			0	1.074	
60	PASS	arch/riscv/mm/hugetlbpage.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/hugetlbpage.c			0	1.805	
61	PASS	arch/riscv/mm/dma-noncoherent.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/mm/dma-noncoherent.c			0	1.306	
62	PASS	arch/riscv/errata/sifive/errata.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/errata/sifive/errata.c			0	0.957	
63	PASS	arch/riscv/errata/thead/errata.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/errata/thead/errata.c			0	1.147	
64	PASS	arch/riscv/purgatory/purgatory.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/purgatory/purgatory.c			0	0.024	
65	FAIL	arch/riscv/purgatory/sha256.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/crypto/sha256.c	20677	21	1	0.317	expected type name
66	PASS	arch/riscv/purgatory/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/string.c			0	0.409	
67	PASS	arch/riscv/purgatory/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/lib/ctype.c			0	0.002	
68	FAIL	arch/riscv/kvm/../../../virt/kvm/kvm_main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/../../../virt/kvm/kvm_main.c	1	1	1	2.528	parsed AST violates compiler contracts
69	FAIL	arch/riscv/kvm/../../../virt/kvm/eventfd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/../../../virt/kvm/eventfd.c	64018	14	1	1.776	expected type name
70	PASS	arch/riscv/kvm/../../../virt/kvm/binary_stats.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/../../../virt/kvm/binary_stats.c			0	1.936	
71	PASS	arch/riscv/kvm/../../../virt/kvm/coalesced_mmio.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/../../../virt/kvm/coalesced_mmio.c			0	1.930	
72	FAIL	arch/riscv/kvm/../../../virt/kvm/irqchip.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/../../../virt/kvm/irqchip.c	1	1	1	1.679	parsed AST violates compiler contracts
73	PASS	arch/riscv/kvm/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/main.c			0	1.933	
74	PASS	arch/riscv/kvm/vm.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vm.c			0	1.943	
75	PASS	arch/riscv/kvm/vmid.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vmid.c			0	1.946	
76	PASS	arch/riscv/kvm/tlb.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/tlb.c			0	1.872	
77	PASS	arch/riscv/kvm/mmu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/mmu.c			0	2.240	
78	PASS	arch/riscv/kvm/vcpu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu.c			0	2.322	
79	PASS	arch/riscv/kvm/vcpu_exit.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_exit.c			0	1.898	
80	PASS	arch/riscv/kvm/vcpu_fp.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_fp.c			0	1.846	
81	PASS	arch/riscv/kvm/vcpu_vector.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_vector.c			0	1.914	
82	PASS	arch/riscv/kvm/vcpu_insn.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_insn.c			0	1.953	
83	PASS	arch/riscv/kvm/vcpu_onereg.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_onereg.c			0	1.966	
84	PASS	arch/riscv/kvm/vcpu_sbi.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_sbi.c			0	1.885	
85	PASS	arch/riscv/kvm/vcpu_sbi_base.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_sbi_base.c			0	1.903	
86	PASS	arch/riscv/kvm/vcpu_sbi_replace.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_sbi_replace.c			0	1.882	
87	PASS	arch/riscv/kvm/vcpu_sbi_hsm.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_sbi_hsm.c			0	1.894	
88	PASS	arch/riscv/kvm/vcpu_timer.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_timer.c			0	1.854	
89	PASS	arch/riscv/kvm/vcpu_pmu.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v7/linux-6.6.143/arch/riscv/kvm/vcpu_pmu.c			0	1.901	
